course_code,course_name,cycle,institution_code,institution_name,reference
9084,Educação Social,Licenciatura - 1º ciclo,3081,Universidade do Algarve - Escola Superior de Educação e Comunicação,5.4.331
9473,Educação Social Gerontológica,Licenciatura - 1º ciclo,3091,"Instituto Politécnico da Guarda - Escola Superior de Educação, Comunicação e Desporto",5.4.345
9879,Educação Social (regime pós-laboral),Licenciatura - 1º ciclo,3131,Instituto Politécnico do Porto - Escola Superior de Educação,5.4.422
L194,Eletrónica e Mecânica Industrial,Licenciatura - 1º ciclo,3012,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,5.4.230
9855,Energia e Ambiente,Licenciatura - 1º ciclo,3092,Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão,5.4.350
9500,Enfermagem,Licenciatura - 1º ciclo,7040,Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda,5.4.346
9500,Enfermagem,Licenciatura - 1º ciclo,7005,Instituto Politécnico de Beja - Escola Superior de Saúde,5.4.240
9500,Enfermagem,Licenciatura - 1º ciclo,7015,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,5.4.272
9500,Enfermagem,Licenciatura - 1º ciclo,7020,Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias,5.4.293
9500,Enfermagem,Licenciatura - 1º ciclo,7045,Instituto Politécnico de Leiria - Escola Superior de Saúde,5.4.367
9500,Enfermagem,Licenciatura - 1º ciclo,7055,Instituto Politécnico de Portalegre - Escola Superior de Saúde,5.4.413
9500,Enfermagem,Licenciatura - 1º ciclo,7065,Instituto Politécnico de Santarém - Escola Superior de Saúde de Santarém,5.4.467
9500,Enfermagem,Licenciatura - 1º ciclo,3155,Instituto Politécnico de Setúbal - Escola Superior de Saúde,5.4.483
9500,Enfermagem,Licenciatura - 1º ciclo,7075,Instituto Politécnico de Viana do Castelo - Escola Superior de Saúde,5.4.497
9500,Enfermagem,Licenciatura - 1º ciclo,7085,Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu,5.4.514
9500,Enfermagem,Licenciatura - 1º ciclo,1320,Universidade da Madeira - Escola Superior de Saúde,5.4.525
9500,Enfermagem,Licenciatura - 1º ciclo,3013,Universidade de Aveiro - Escola Superior de Saúde de Aveiro,5.4.229
9500,Enfermagem,Licenciatura - 1º ciclo,7240,Universidade de Coimbra - Escola Superior de Enfermagem,5.4.328
9500,Enfermagem,Licenciatura - 1º ciclo,7030,Universidade de Évora - Escola Superior de Enfermagem de São João de Deus,5.4.328
9500,Enfermagem,Licenciatura - 1º ciclo,7260,Universidade de Lisboa - Escola Superior de Enfermagem,5.4.408
9500,Enfermagem,Licenciatura - 1º ciclo,7080,Universidade de Trás-os-Montes e Alto Douro - Escola Superior de Saúde,5.4.508
9500,Enfermagem,Licenciatura - 1º ciclo,7035,Universidade do Algarve - Escola Superior de Saúde,5.4.339
9500,Enfermagem,Licenciatura - 1º ciclo,7010,Universidade do Minho - Escola Superior de Enfermagem,5.4.256
9500,Enfermagem,Licenciatura - 1º ciclo,7270,Universidade do Porto - Escola Superior de Enfermagem,5.4.453
9500,Enfermagem,Licenciatura - 1º ciclo,7092,Universidade dos Açores - Escola Superior de Saúde - Angra do Heroísmo,5.4.524
9500,Enfermagem,Licenciatura - 1º ciclo,7093,Universidade dos Açores - Escola Superior de Saúde - Ponta Delgada,5.4.524
9501,Enfermagem (entrada no 2.º semestre),Licenciatura - 1º ciclo,7015,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,5.4.273
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3041,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,5.4.258
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3051,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,5.4.282
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3061,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,5.4.299
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3125,Instituto Politécnico de Portalegre - Escola Superior de Biociências de Elvas,5.4.409
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,5.4.455
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3161,Instituto Politécnico de Viana do Castelo - Escola Superior Agrária,5.4.492
9085,Enfermagem Veterinária,Licenciatura - 1º ciclo,3185,Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu,5.4.509
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,0300,Universidade de Aveiro,5.4.42
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,0602,Universidade de Évora - Escola de Ciências e Tecnologia,5.4.99
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,1518,Universidade de Lisboa - Instituto Superior Técnico,5.4.141
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,1000,Universidade do Minho,5.4.164
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,1105,Universidade do Porto - Faculdade de Engenharia,5.4.203
L221,Engenharia Aeroespacial,Licenciatura - 1º ciclo,0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,5.4.185
L403,Engenharia Aeroespacial,Licenciatura - 1º ciclo,0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,5.4.70
9740,Engenharia Aeronáutica,Licenciatura - 1º ciclo,0400,Universidade da Beira Interior,5.4.58
9086,Engenharia Agronómica,Licenciatura - 1º ciclo,3041,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,5.4.258
9086,Engenharia Agronómica,Licenciatura - 1º ciclo,3185,Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu,5.4.510
9086,Engenharia Agronómica,Licenciatura - 1º ciclo,1515,Universidade de Lisboa - Instituto Superior de Agronomia,5.4.129
9086,Engenharia Agronómica,Licenciatura - 1º ciclo,1103,Universidade do Porto - Faculdade de Ciências,5.4.197
